// 现代汉语语料库词语分词类频率表,,,,,,
// 语料规模:2000万字,,,,,,
// 只列入出现次数大于50次的词,,,,,,
// 下载自www.cncorpus.org语料库在线网站,,,,,,
// id,词语,词类标记,词类名称,出现次数,频率,累积频率
1808,师傅,n,名词,740,0.0077,68.19640000000048
1809,运动,v,动词,739,0.0077,68.20410000000048
1810,分离,v,动词,739,0.0077,68.21950000000048
1811,核,n,名词,739,0.0077,68.21180000000048
1812,枪,n,名词,738,0.0077,68.22720000000048
1813,决策,n,名词,738,0.0077,68.23490000000048
1814,站,n,名词,738,0.0077,68.24260000000048
1815,电影,n,名词,737,0.0077,68.27340000000048
1816,寻找,v,动词,737,0.0077,68.26570000000048
1817,规定,n,名词,737,0.0077,68.25030000000048
1818,规则,n,名词,737,0.0077,68.25800000000048
1819,十五,m,数词,736,0.0077,68.31190000000048
1820,也是,v,动词,736,0.0077,68.28110000000048
1821,划分,v,动词,736,0.0077,68.28880000000048
1822,石,n,名词,736,0.0077,68.29650000000048
1823,凡,d,副词,736,0.0077,68.30420000000048
1824,云,n,名词,734,0.0077,68.32730000000048
1825,著作,n,名词,734,0.0077,68.31960000000048
1826,给予,v,动词,733,0.0077,68.33500000000048
1827,居民,n,名词,732,0.0077,68.34270000000048
1828,待,v,动词,732,0.0077,68.35040000000048
1829,资本,n,名词,732,0.0077,68.35810000000048
1830,辆,q,量词,731,0.0076,68.36570000000047
1831,抽象,a,形容词,731,0.0076,68.37330000000047
1832,四十,m,数词,731,0.0076,68.38090000000047
1833,集团,n,名词,730,0.0076,68.38850000000046
1834,维护,v,动词,730,0.0076,68.39610000000046
1835,势,n,名词,730,0.0076,68.40370000000046
1836,符号,n,名词,729,0.0076,68.41130000000045
1837,哥哥,n,名词,729,0.0076,68.41890000000045
1838,刚刚,d,副词,729,0.0076,68.42650000000044
1839,太太,n,名词,728,0.0076,68.44170000000044
1840,就,p,介词,728,0.0076,68.44930000000043
1841,自,r,代词,728,0.0076,68.43410000000044
1842,仔细,a,形容词,726,0.0076,68.47210000000042
1843,念,v,动词,726,0.0076,68.46450000000043
1844,工人阶级,n,名词,726,0.0076,68.45690000000043
1845,探索,v,动词,724,0.0076,68.47970000000042
1846,亲自,d,副词,724,0.0076,68.48730000000042
1847,方,n,名词,723,0.0076,68.49490000000041
1848,走进,v,动词,722,0.0076,68.50250000000041
1849,确实,d,副词,722,0.0076,68.5101000000004
1850,棵,q,量词,720,0.0075,68.5176000000004
1851,用来,v,动词,719,0.0075,68.56260000000036
1852,生动,a,形容词,719,0.0075,68.57010000000035
1853,分裂,v,动词,719,0.0075,68.55510000000037
1854,压力,n,名词,719,0.0075,68.54760000000037
1855,脱离,v,动词,719,0.0075,68.54010000000038
1856,动力,n,名词,719,0.0075,68.53260000000039
1857,系,n,名词,719,0.0075,68.52510000000039
1858,之下,nd,方位名词,718,0.0075,68.57760000000034
1859,主席,n,名词,718,0.0075,68.58510000000034
1860,记忆,n,名词,718,0.0075,68.59260000000033
1861,明白,v,动词,716,0.0075,68.60010000000032
1862,史,n,名词,716,0.0075,68.60760000000032
1863,情绪,n,名词,715,0.0075,68.61510000000031
1864,地下,nl,处所名词,715,0.0075,68.6226000000003
1865,主题,n,名词,715,0.0075,68.6301000000003
1866,三角形,n,名词,714,0.0075,68.63760000000029
1867,师,n,名词,714,0.0075,68.65260000000028
1868,真正,d,副词,714,0.0075,68.66010000000027
1869,病,v,动词,714,0.0075,68.64510000000028
1870,权,n,名词,712,0.0075,68.66760000000026
1871,争取,v,动词,712,0.0075,68.67510000000026
1872,液体,n,名词,712,0.0075,68.68260000000025
1873,旁,nd,方位名词,711,0.0074,68.70480000000026
1874,始终,d,副词,711,0.0074,68.69000000000025
1875,武器,n,名词,711,0.0074,68.71960000000027
1876,制约,v,动词,711,0.0074,68.71220000000027
1877,看法,n,名词,711,0.0074,68.69740000000026
1878,压,v,动词,710,0.0074,68.72700000000027
1879,必,d,副词,710,0.0074,68.73440000000028
1880,过渡,v,动词,710,0.0074,68.74180000000028
1881,素质,n,名词,710,0.0074,68.74920000000029
1882,分解,v,动词,708,0.0074,68.75660000000029
1883,贵族,n,名词,708,0.0074,68.7640000000003
1884,那儿,r,代词,708,0.0074,68.7714000000003
1885,女子,n,名词,707,0.0074,68.7788000000003
1886,效率,n,名词,707,0.0074,68.7862000000003
1887,说法,n,名词,707,0.0074,68.79360000000031
1888,肉,n,名词,706,0.0074,68.80100000000031
1889,米,n,名词,705,0.0074,68.81580000000032
1890,未来,nt,时间名词,705,0.0074,68.80840000000032
1891,眼前,nl,处所名词,704,0.0074,68.83060000000033
1892,好好,d,副词,704,0.0074,68.82320000000033
1893,可见,c,连词,703,0.0074,68.83800000000033
1894,今,nt,时间名词,702,0.0073,68.84530000000034
1895,型,n,名词,702,0.0073,68.85260000000034
1896,金,n,名词,702,0.0073,68.85990000000034
1897,共同,d,副词,701,0.0073,68.88180000000034
1898,秩序,n,名词,701,0.0073,68.86720000000034
1899,含量,n,名词,701,0.0073,68.87450000000034
1900,实在,d,副词,700,0.0073,68.90370000000034
1901,包含,v,动词,700,0.0073,68.88910000000034
1902,内在,a,形容词,700,0.0073,68.89640000000034
1903,带有,v,动词,699,0.0073,68.91100000000034
1904,弱,a,形容词,698,0.0073,68.91830000000034
1905,移动,v,动词,698,0.0073,68.94020000000035
1906,苦,a,形容词,698,0.0073,68.94750000000035
1907,实施,v,动词,698,0.0073,68.95480000000035
1908,记得,v,动词,698,0.0073,68.93290000000034
1909,恩格斯,nh,人名,698,0.0073,68.92560000000034
1910,论,v,动词,697,0.0073,68.96210000000035
1911,田,n,名词,697,0.0073,68.96940000000035
1912,经济效益,n,名词,697,0.0073,68.97670000000035
1913,优势,n,名词,697,0.0073,68.98400000000035
1914,支配,v,动词,697,0.0073,68.99130000000035
1915,诸,r,代词,697,0.0073,68.99860000000035
1916,倾向,n,名词,696,0.0073,69.00590000000035
1917,已知,v,动词,696,0.0073,69.01320000000035
1918,购买,v,动词,696,0.0073,69.02050000000035
1919,素,n,名词,695,0.0073,69.04970000000036
1920,有力,a,形容词,695,0.0073,69.04240000000036
1921,下列,v,动词,695,0.0073,69.02780000000035
1922,天津,ns,地名,695,0.0073,69.03510000000036
1923,吹,v,动词,694,0.0073,69.06430000000036
1924,城,n,名词,694,0.0073,69.05700000000036
1925,担任,v,动词,693,0.0073,69.07160000000036
1926,冲突,v,动词,693,0.0073,69.07890000000036
1927,化,v,动词,693,0.0073,69.08620000000036
1928,如下,v,动词,692,0.0072,69.09340000000036
1929,约,v,动词,692,0.0072,69.10060000000036
1930,吃饭,v,动词,692,0.0072,69.10780000000035
1931,巩固,v,动词,691,0.0072,69.11500000000035
1932,骂,v,动词,690,0.0072,69.12220000000035
1933,底,u,助词,690,0.0072,69.12940000000035
1934,一百,m,数词,689,0.0072,69.13660000000034
1935,电阻,n,名词,688,0.0072,69.16540000000033
1936,头上,nl,处所名词,688,0.0072,69.15820000000033
1937,干,a,形容词,688,0.0072,69.14380000000034
1938,不必,d,副词,688,0.0072,69.15100000000034
1939,戴,v,动词,687,0.0072,69.20860000000032
1940,知,v,动词,687,0.0072,69.17980000000033
1941,侵略,v,动词,687,0.0072,69.18700000000032
1942,组合,v,动词,687,0.0072,69.19420000000032
1943,自觉,a,形容词,687,0.0072,69.20140000000032
1944,石头,n,名词,687,0.0072,69.17260000000033
1945,雨,n,名词,686,0.0072,69.2446000000003
1946,人工,n,名词,686,0.0072,69.2518000000003
1947,吸引,v,动词,686,0.0072,69.2374000000003
1948,周期,nt,时间名词,686,0.0072,69.23020000000031
1949,厂长,n,名词,686,0.0072,69.22300000000031
1950,具备,v,动词,686,0.0072,69.21580000000031
1951,躺,v,动词,685,0.0072,69.2590000000003
1952,鼓励,v,动词,684,0.0072,69.2662000000003
1953,流通,v,动词,684,0.0072,69.2734000000003
1954,身边,nl,处所名词,684,0.0072,69.28060000000029
1955,区域,n,名词,683,0.0071,69.28770000000029
1956,阳光,n,名词,682,0.0071,69.29480000000028
1957,功,n,名词,682,0.0071,69.30190000000027
1958,使得,v,动词,682,0.0071,69.30900000000027
1959,歌,n,名词,682,0.0071,69.31610000000026
1960,体育,n,名词,680,0.0071,69.32320000000026
1961,职业,n,名词,679,0.0071,69.35870000000023
1962,皆,d,副词,679,0.0071,69.36580000000022
1963,即,vl,联系动词,679,0.0071,69.35160000000023
1964,发明,v,动词,679,0.0071,69.34450000000024
1965,产物,n,名词,679,0.0071,69.33740000000024
1966,一带,n,名词,679,0.0071,69.33030000000025
1967,损失,v,动词,678,0.0071,69.3871000000002
1968,般,n,名词,678,0.0071,69.37290000000021
1969,此时,nt,时间名词,678,0.0071,69.38000000000021
1970,兼,v,动词,677,0.0071,69.3942000000002
1971,一方面,n,名词,677,0.0071,69.40130000000019
1972,方案,n,名词,676,0.0071,69.40840000000019
1973,不得不,d,副词,676,0.0071,69.41550000000018
1974,宣布,v,动词,676,0.0071,69.42260000000017
1975,国民党,ni,机构名,675,0.0071,69.42970000000017
1976,久,a,形容词,675,0.0071,69.43680000000016
1977,尽,v,动词,674,0.0071,69.44390000000016
1978,波,n,名词,674,0.0071,69.45100000000015
1979,原,a,形容词,674,0.0071,69.45810000000014
1980,快,d,副词,673,0.007,69.46510000000015
1981,知识分子,n,名词,672,0.007,69.47910000000016
1982,好,d,副词,672,0.007,69.48610000000016
1983,杨,nhf,人名-姓,672,0.007,69.47210000000015
1984,一旦,d,副词,670,0.007,69.49310000000017
1985,婚姻,n,名词,669,0.007,69.50010000000017
1986,主观,n,名词,668,0.007,69.50710000000018
1987,制,n,名词,668,0.007,69.51410000000018
1988,当作,v,动词,668,0.007,69.52110000000019
1989,相等,v,动词,668,0.007,69.5281000000002
1990,生产关系,n,名词,668,0.007,69.5351000000002
1991,打击,v,动词,667,0.007,69.5421000000002
1992,人民群众,n,名词,667,0.007,69.54910000000021
1993,腰,n,名词,667,0.007,69.55610000000021
1994,主,n,名词,666,0.007,69.56310000000022
1995,满,a,形容词,666,0.007,69.57010000000022
1996,冲,v,动词,665,0.007,69.58410000000023
1997,合成,v,动词,665,0.007,69.59110000000024
1998,激动,v,动词,665,0.007,69.59810000000024
1999,母,n,名词,665,0.007,69.57710000000023
2000,交流,v,动词,664,0.0069,69.60500000000025
2001,理由,n,名词,664,0.0069,69.61190000000025
2002,语音,n,名词,663,0.0069,69.61880000000025
2003,动机,n,名词,663,0.0069,69.62570000000025
2004,油,n,名词,663,0.0069,69.63260000000025
2005,有利,a,形容词,662,0.0069,69.64640000000026
2006,善于,v,动词,662,0.0069,69.65330000000026
2007,苗,n,名词,662,0.0069,69.66020000000026
2008,上来,vd,趋向动词,662,0.0069,69.63950000000025
2009,氧气,n,名词,661,0.0069,69.66710000000026
2010,十一,m,数词,661,0.0069,69.67400000000026
2011,头发,n,名词,660,0.0069,69.68090000000026
2012,行业,n,名词,660,0.0069,69.68780000000027
2013,修,v,动词,660,0.0069,69.69470000000027
2014,娘,n,名词,659,0.0069,69.70160000000027
2015,十九,m,数词,657,0.0069,69.70850000000027
2016,心中,nl,处所名词,657,0.0069,69.72920000000028
2017,广州,ns,地名,657,0.0069,69.73610000000028
2018,主动,a,形容词,657,0.0069,69.72230000000027
2019,思考,v,动词,657,0.0069,69.71540000000027
2020,台湾,ns,地名,656,0.0069,69.74300000000028
2021,还是,v,动词,656,0.0069,69.74990000000028
2022,器官,n,名词,656,0.0069,69.75680000000028
2023,灯,n,名词,655,0.0069,69.76370000000028
2024,并,d,副词,655,0.0069,69.77060000000029
2025,说道,v,动词,654,0.0068,69.77740000000028
2026,口,q,量词,654,0.0068,69.78420000000028
2027,爹,n,名词,654,0.0068,69.79100000000028
2028,皮肤,n,名词,654,0.0068,69.79780000000028
2029,各自,r,代词,653,0.0068,69.82500000000027
2030,来源,n,名词,653,0.0068,69.83180000000027
2031,论,n,名词,653,0.0068,69.83860000000027
2032,几十,m,数词,653,0.0068,69.80460000000028
2033,只见,v,动词,653,0.0068,69.81140000000028
2034,敢,vu,能愿动词,653,0.0068,69.81820000000027
2035,毕业,v,动词,653,0.0068,69.84540000000027
2036,加入,v,动词,652,0.0068,69.85220000000027
2037,变化,n,名词,652,0.0068,69.85900000000026
2038,否则,c,连词,652,0.0068,69.86580000000026
2039,局,n,名词,652,0.0068,69.87260000000026
2040,本,q,量词,652,0.0068,69.87940000000026
2041,感染,v,动词,651,0.0068,69.88620000000026
2042,记载,v,动词,650,0.0068,69.89300000000026
2043,丝,n,名词,650,0.0068,69.89980000000025
2044,劳动人民,n,名词,650,0.0068,69.90660000000025
2045,体积,n,名词,649,0.0068,69.92700000000025
2046,批准,v,动词,649,0.0068,69.91340000000025
2047,若干,m,数词,649,0.0068,69.92020000000025
2048,展开,v,动词,648,0.0068,69.95420000000024
2049,男女,n,名词,648,0.0068,69.93380000000025
2050,至今,d,副词,648,0.0068,69.94060000000025
2051,对待,v,动词,648,0.0068,69.94740000000024
2052,熟悉,v,动词,646,0.0068,69.96100000000024
2053,十年,nt,时间名词,646,0.0068,69.96780000000024
2054,了,v,动词,646,0.0068,69.97460000000024
2055,稍,d,副词,646,0.0068,69.98140000000024
2056,其次,r,代词,646,0.0068,69.98820000000023
2057,菜,n,名词,645,0.0067,69.99490000000023
2058,男子,n,名词,644,0.0067,70.00160000000022
2059,幅,n,名词,644,0.0067,70.00830000000022
2060,热量,n,名词,644,0.0067,70.01500000000021
2061,圈,n,名词,643,0.0067,70.02170000000021
2062,薄,a,形容词,643,0.0067,70.0351000000002
2063,练习,v,动词,643,0.0067,70.0284000000002
2064,局面,n,名词,642,0.0067,70.0418000000002
2065,国外,nl,处所名词,642,0.0067,70.04850000000019
2066,鸡,n,名词,642,0.0067,70.05520000000018
2067,洗,v,动词,642,0.0067,70.06190000000018
2068,特性,n,名词,642,0.0067,70.06860000000017
2069,出版,v,动词,642,0.0067,70.07530000000017
2070,早就,d,副词,642,0.0067,70.08200000000016
2071,答应,v,动词,641,0.0067,70.12220000000013
2072,更为,d,副词,641,0.0067,70.11550000000014
2073,这时,nt,时间名词,641,0.0067,70.10880000000014
2074,走向,v,动词,641,0.0067,70.12890000000013
2075,啥,r,代词,641,0.0067,70.10210000000015
2076,能,n,名词,641,0.0067,70.08870000000016
2077,到处,nl,处所名词,641,0.0067,70.09540000000015
2078,至少,d,副词,640,0.0067,70.13560000000012
2079,官,n,名词,640,0.0067,70.14230000000012
2080,赵,nhf,人名-姓,640,0.0067,70.14900000000011
2081,物资,n,名词,639,0.0067,70.1624000000001
2082,哪些,r,代词,639,0.0067,70.15570000000011
2083,估计,v,动词,638,0.0067,70.1691000000001
2084,蛋白质,n,名词,638,0.0067,70.1758000000001
2085,制,v,动词,637,0.0067,70.18250000000009
2086,脑,n,名词,636,0.0067,70.18920000000008
2087,遭到,v,动词,636,0.0067,70.19590000000008
2088,奶奶,n,名词,636,0.0067,70.20260000000007
2089,敌,n,名词,636,0.0067,70.20930000000007
2090,起义,v,动词,636,0.0067,70.21600000000007
2091,测量,v,动词,635,0.0066,70.23580000000008
2092,封,q,量词,635,0.0066,70.24240000000009
2093,不过,d,副词,635,0.0066,70.2490000000001
2094,角色,n,名词,635,0.0066,70.22920000000008
2095,当年,nt,时间名词,635,0.0066,70.22260000000007
2096,出口,n,名词,634,0.0066,70.2556000000001
2097,不变,v,动词,634,0.0066,70.2622000000001
2098,变为,v,动词,634,0.0066,70.26880000000011
2099,按,v,动词,633,0.0066,70.28200000000012
2100,双手,n,名词,633,0.0066,70.27540000000012
2101,赶,v,动词,632,0.0066,70.29520000000014
2102,一家,mq,数量,632,0.0066,70.30180000000014
2103,周,nhf,人名-姓,632,0.0066,70.28860000000013
2104,家,k,后接成分,631,0.0066,70.31500000000015
2105,一半,m,数词,631,0.0066,70.32160000000016
2106,热,n,名词,631,0.0066,70.32820000000017
2107,假,a,形容词,631,0.0066,70.33480000000017
2108,多年,nt,时间名词,631,0.0066,70.30840000000015
2109,产业,n,名词,630,0.0066,70.34140000000018
2110,定律,n,名词,630,0.0066,70.34800000000018
2111,房间,n,名词,629,0.0066,70.35460000000019
2112,做好,v,动词,629,0.0066,70.3612000000002
2113,车间,n,名词,629,0.0066,70.3678000000002
2114,爬,v,动词,628,0.0066,70.38100000000021
2115,由此,d,副词,628,0.0066,70.38760000000022
2116,向前,v,动词,628,0.0066,70.37440000000021
2117,造,v,动词,627,0.0066,70.40080000000023
2118,大队,n,名词,627,0.0066,70.40740000000024
2119,壁,n,名词,627,0.0066,70.39420000000023
2120,那么,c,连词,626,0.0066,70.41400000000024
2121,忘记,v,动词,626,0.0066,70.42060000000025
2122,密度,n,名词,626,0.0066,70.42720000000025
2123,态,n,名词,625,0.0065,70.43370000000026
2124,公社,n,名词,625,0.0065,70.44020000000026
2125,室,n,名词,624,0.0065,70.44670000000026
2126,模式,n,名词,624,0.0065,70.45970000000027
2127,奴隶,n,名词,624,0.0065,70.45320000000027
2128,香港,ns,地名,622,0.0065,70.46620000000027
2129,意,n,名词,622,0.0065,70.47270000000027
2130,硬,a,形容词,622,0.0065,70.47920000000028
2131,族,n,名词,622,0.0065,70.48570000000028
2132,种,n,名词,621,0.0065,70.50520000000029
2133,少数,n,名词,621,0.0065,70.49220000000028
2134,溶解,v,动词,621,0.0065,70.49870000000028
2135,智力,n,名词,621,0.0065,70.51170000000029
2136,服从,v,动词,620,0.0065,70.51820000000029
2137,固定,v,动词,620,0.0065,70.5247000000003
2138,和平,a,形容词,620,0.0065,70.5312000000003
2139,英,j,缩略语,618,0.0065,70.5377000000003
2140,印度,ns,地名,617,0.0065,70.55720000000031
2141,收入,v,动词,617,0.0065,70.5442000000003
2142,鸟,n,名词,617,0.0065,70.5507000000003
2143,起,vd,趋向动词,616,0.0064,70.5828000000003
2144,举,v,动词,616,0.0064,70.5636000000003
2145,起来,v,动词,616,0.0064,70.5700000000003
2146,治,v,动词,616,0.0064,70.5764000000003
2147,怎么样,r,代词,615,0.0064,70.6212000000003
2148,近代,nt,时间名词,615,0.0064,70.6148000000003
2149,美,j,缩略语,615,0.0064,70.5892000000003
2150,陈,nhf,人名-姓,615,0.0064,70.6084000000003
2151,并非,d,副词,615,0.0064,70.6276000000003
2152,不怕,v,动词,615,0.0064,70.6020000000003
2153,小组,n,名词,615,0.0064,70.5956000000003
2154,传,v,动词,614,0.0064,70.6340000000003
2155,基本上,d,副词,614,0.0064,70.6404000000003
2156,可以说,v,动词,614,0.0064,70.6468000000003
2157,科,n,名词,614,0.0064,70.6532000000003
2158,反射,v,动词,613,0.0064,70.6660000000003
2159,初期,nt,时间名词,613,0.0064,70.6724000000003
2160,美元,n,名词,613,0.0064,70.6596000000003
2161,非洲,ns,地名,612,0.0064,70.6788000000003
2162,传来,v,动词,612,0.0064,70.6852000000003
2163,最初,nt,时间名词,612,0.0064,70.69160000000029
2164,语法,n,名词,612,0.0064,70.69800000000029
2165,白色,n,名词,612,0.0064,70.70440000000029
2166,粒,n,名词,612,0.0064,70.71080000000029
2167,彼此,r,代词,611,0.0064,70.71720000000029
2168,民间,n,名词,610,0.0064,70.72360000000029
2169,义,n,名词,610,0.0064,70.73000000000029
2170,还是,vl,联系动词,610,0.0064,70.73640000000029
2171,季节,nt,时间名词,609,0.0064,70.76200000000028
2172,春,nt,时间名词,609,0.0064,70.75560000000029
2173,民,n,名词,609,0.0064,70.74280000000029
2174,强大,a,形容词,609,0.0064,70.74920000000029
2175,测定,v,动词,609,0.0064,70.76840000000028
2176,食,v,动词,608,0.0064,70.77480000000028
2177,遍,q,量词,608,0.0064,70.78120000000028
2178,监督,v,动词,608,0.0064,70.78760000000028
2179,感觉,n,名词,608,0.0064,70.79400000000028
2180,自动,a,形容词,607,0.0064,70.80040000000028
2181,不错,a,形容词,607,0.0064,70.81320000000028
2182,情,n,名词,607,0.0064,70.81960000000028
2183,农产品,n,名词,607,0.0064,70.80680000000028
2184,十八,m,数词,605,0.0063,70.82590000000027
2185,协调,v,动词,605,0.0063,70.83220000000027
2186,交给,v,动词,604,0.0063,70.83850000000027
2187,抽,v,动词,604,0.0063,70.84480000000026
2188,工作者,n,名词,604,0.0063,70.85110000000026
2189,亿,m,数词,602,0.0063,70.85740000000025
2190,气温,n,名词,601,0.0063,70.87000000000025
2191,印象,n,名词,601,0.0063,70.86370000000025
2192,后者,n,名词,600,0.0063,70.87630000000024
2193,电压,n,名词,600,0.0063,70.88260000000024
2194,工,n,名词,600,0.0063,70.88890000000023
2195,试管,n,名词,600,0.0063,70.89520000000023
2196,牺牲,v,动词,599,0.0063,70.90150000000023
2197,冰,n,名词,599,0.0063,70.90780000000022
2198,股,n,名词,598,0.0063,70.91410000000022
2199,日,j,缩略语,598,0.0063,70.92040000000021
2200,学者,n,名词,597,0.0062,70.92660000000022
2201,大多数,n,名词,597,0.0062,70.93280000000023
2202,南京,ns,地名,597,0.0062,70.93900000000023
2203,规范,n,名词,596,0.0062,70.96380000000026
2204,二氧化碳,n,名词,596,0.0062,70.94520000000024
2205,一方面,c,连词,596,0.0062,70.95140000000025
2206,消费者,n,名词,596,0.0062,70.95760000000026
2207,促使,v,动词,595,0.0062,70.97000000000027
2208,例子,n,名词,595,0.0062,70.97620000000028
2209,发射,v,动词,595,0.0062,70.98240000000028
2210,反复,d,副词,595,0.0062,70.98860000000029
2211,长江,ns,地名,594,0.0062,71.0010000000003
2212,屋里,nl,处所名词,594,0.0062,70.9948000000003
2213,纸,n,名词,593,0.0062,71.00720000000031
2214,脑袋,n,名词,593,0.0062,71.01340000000032
2215,这时候,nt,时间名词,591,0.0062,71.01960000000032
2216,文明,a,形容词,591,0.0062,71.02580000000033
2217,困难,a,形容词,591,0.0062,71.03200000000034
2218,平原,n,名词,591,0.0062,71.03820000000034
2219,纪律,n,名词,591,0.0062,71.04440000000035
2220,文,n,名词,590,0.0062,71.05060000000036
2221,报道,v,动词,590,0.0062,71.05680000000037
2222,小学,n,名词,589,0.0062,71.06300000000037
2223,时期,n,名词,589,0.0062,71.06920000000038
2224,干什么,v,动词,589,0.0062,71.07540000000039
2225,命运,n,名词,588,0.0062,71.08160000000039
2226,无数,m,数词,588,0.0062,71.0878000000004
2227,呵,u,助词,588,0.0062,71.0940000000004
2228,微笑,v,动词,588,0.0062,71.10020000000041
2229,顺利,a,形容词,588,0.0062,71.10640000000042
2230,目光,n,名词,588,0.0062,71.11260000000043
2231,沿着,p,介词,587,0.0061,71.11870000000043
2232,不能不,d,副词,587,0.0061,71.12480000000043
2233,位于,v,动词,586,0.0061,71.14920000000045
2234,遗传,v,动词,586,0.0061,71.14310000000044
2235,尚,d,副词,586,0.0061,71.13090000000044
2236,红军,n,名词,586,0.0061,71.13700000000044
2237,联想,v,动词,585,0.0061,71.17970000000047
2238,揭示,v,动词,585,0.0061,71.15530000000045
2239,果然,d,副词,585,0.0061,71.16140000000046
2240,体内,nl,处所名词,585,0.0061,71.16750000000046
2241,校长,n,名词,585,0.0061,71.17360000000046
2242,退,v,动词,584,0.0061,71.18580000000047
2243,有可能,v,动词,584,0.0061,71.19800000000048
2244,到达,v,动词,584,0.0061,71.20410000000048
2245,意大利,ns,地名,584,0.0061,71.19190000000047
2246,不如,v,动词,583,0.0061,71.21020000000048
2247,一会,nt,时间名词,583,0.0061,71.21630000000049
2248,键,n,名词,583,0.0061,71.22240000000049
2249,方便,a,形容词,582,0.0061,71.2407000000005
2250,路上,nl,处所名词,582,0.0061,71.25290000000051
2251,古,a,形容词,582,0.0061,71.2285000000005
2252,氧,n,名词,582,0.0061,71.2346000000005
2253,博士,n,名词,582,0.0061,71.2468000000005
2254,岁,q,量词,581,0.0061,71.25900000000051
2255,粗,a,形容词,581,0.0061,71.26510000000052
2256,片,n,名词,581,0.0061,71.27120000000052
2257,情节,n,名词,581,0.0061,71.27730000000052
2258,副,q,量词,580,0.0061,71.28340000000053
2259,天空,n,名词,580,0.0061,71.29560000000053
2260,外界,n,名词,580,0.0061,71.30170000000054
2261,看作,v,动词,580,0.0061,71.28950000000053
2262,极其,d,副词,579,0.0061,71.30780000000054
2263,程序,n,名词,579,0.0061,71.31390000000054
2264,怀疑,v,动词,579,0.0061,71.32000000000055
2265,粒子,n,名词,579,0.0061,71.32610000000055
2266,咬,v,动词,578,0.006,71.33210000000055
2267,画家,n,名词,578,0.006,71.33810000000055
2268,回,q,量词,577,0.006,71.34410000000055
2269,抑制,v,动词,577,0.006,71.35010000000055
2270,绿色,n,名词,577,0.006,71.35610000000055
2271,紧紧,d,副词,577,0.006,71.36210000000055
2272,分类,v,动词,577,0.006,71.36810000000055
2273,各项,r,代词,577,0.006,71.37410000000055
2274,走出,v,动词,576,0.006,71.38010000000055
2275,子女,n,名词,576,0.006,71.38610000000055
2276,北方,nd,方位名词,575,0.006,71.39210000000055
2277,隔,v,动词,574,0.006,71.39810000000055
2278,特定,a,形容词,574,0.006,71.40410000000055
2279,开放,v,动词,574,0.006,71.41010000000055
2280,同志们,n,名词,574,0.006,71.41610000000055
2281,谈话,n,名词,573,0.006,71.44610000000056
2282,率,k,后接成分,573,0.006,71.45210000000056
2283,平,a,形容词,573,0.006,71.44010000000056
2284,异,a,形容词,573,0.006,71.42810000000055
2285,仪器,n,名词,573,0.006,71.42210000000055
2286,公斤,q,量词,573,0.006,71.45810000000056
2287,运动员,n,名词,573,0.006,71.43410000000056
2288,代,v,动词,572,0.006,71.46410000000056
2289,统治阶级,n,名词,572,0.006,71.47010000000056
2290,增大,v,动词,572,0.006,71.47610000000056
2291,经常,a,形容词,571,0.006,71.48210000000056
2292,照片,n,名词,570,0.006,71.48810000000056
2293,抢,v,动词,570,0.006,71.49410000000056
2294,破,a,形容词,569,0.006,71.50010000000056
2295,领,v,动词,569,0.006,71.50610000000056
2296,基因,n,名词,569,0.006,71.51210000000056
2297,义务,n,名词,568,0.0059,71.51800000000055
2298,俄国,ns,地名,568,0.0059,71.52390000000055
2299,鼻子,n,名词,568,0.0059,71.52980000000055
2300,不想,v,动词,567,0.0059,71.53570000000055
2301,句子,n,名词,567,0.0059,71.54160000000054
2302,大声,n,名词,566,0.0059,71.55340000000054
2303,保存,v,动词,566,0.0059,71.54750000000054
2304,头脑,n,名词,565,0.0059,71.55930000000053
2305,跑到,v,动词,565,0.0059,71.56520000000053
2306,商品经济,n,名词,565,0.0059,71.57110000000053
2307,建筑,v,动词,565,0.0059,71.57700000000052
2308,广,a,形容词,564,0.0059,71.58290000000052
2309,制成,v,动词,563,0.0059,71.60060000000051
2310,凡是,d,副词,563,0.0059,71.60650000000051
2311,排列,v,动词,563,0.0059,71.59470000000051
2312,对比,v,动词,563,0.0059,71.58880000000052
2313,挺,d,副词,562,0.0059,71.6124000000005
2314,氏族,n,名词,562,0.0059,71.6183000000005
2315,河,n,名词,561,0.0059,71.64780000000049
2316,流动,v,动词,561,0.0059,71.64190000000049
2317,做出,v,动词,561,0.0059,71.65370000000048
2318,爆发,v,动词,561,0.0059,71.6242000000005
2319,联系,n,名词,561,0.0059,71.6360000000005
2320,提到,v,动词,561,0.0059,71.6301000000005
2321,上去,v,动词,560,0.0059,71.65960000000048
2322,幼虫,n,名词,560,0.0059,71.66550000000048
2323,男人,n,名词,560,0.0059,71.67140000000047
2324,男,n,名词,560,0.0059,71.67730000000047
2325,红色,n,名词,559,0.0058,71.68310000000047
2326,间接,a,形容词,559,0.0058,71.68890000000046
2327,纷纷,d,副词,559,0.0058,71.69470000000045
2328,缺少,v,动词,558,0.0058,71.71790000000043
2329,示,v,动词,558,0.0058,71.71210000000043
2330,锻炼,v,动词,558,0.0058,71.72950000000041
2331,所,n,名词,558,0.0058,71.70050000000045
2332,早期,nt,时间名词,558,0.0058,71.70630000000044
2333,着,v,动词,558,0.0058,71.72370000000042
2334,再也,d,副词,557,0.0058,71.75850000000038
