#现代汉语语料库汉字频率表,,,,
#语料规模:2000万字,,,,
#只列入出现次数大于5次的字,,,,
#下载自www.cncorpus.org语料库在线网站,,,,
,,,,
,,,,
id,汉字,出现次数,频率（%）,累积频率（%）
325,调,10766,0.0692,67.1509
326,务,10743,0.0691,67.22
327,花,10710,0.0689,67.2889
328,争,10697,0.0688,67.3577
329,线,10691,0.0688,67.42649999999999
330,呢,10623,0.0683,67.49479999999998
331,每,10593,0.0681,67.56289999999998
332,边,10572,0.068,67.63089999999998
333,难,10546,0.0678,67.69869999999999
334,太,10525,0.0677,67.76639999999999
335,共,10500,0.0675,67.83389999999999
336,交,10488,0.0675,67.90139999999998
337,确,10484,0.0674,67.96879999999999
338,劳,10396,0.0669,68.03569999999999
339,据,10344,0.0665,68.1022
340,达,10319,0.0664,68.1686
341,住,10281,0.0661,68.2347
342,收,10204,0.0656,68.30030000000001
343,候,10199,0.0656,68.36590000000001
344,需,10191,0.0655,68.43140000000001
345,转,10174,0.0654,68.49680000000001
346,百,10071,0.0648,68.56160000000001
347,南,10033,0.0645,68.62610000000001
348,清,10010,0.0644,68.69050000000001
349,格,9945,0.064,68.75450000000001
350,影,9929,0.0639,68.81840000000001
351,书,9927,0.0638,68.88220000000001
352,切,9918,0.0638,68.94600000000001
353,且,9898,0.0637,69.00970000000001
354,却,9896,0.0636,69.0733
355,志,9881,0.0635,69.13680000000001
356,热,9860,0.0634,69.20020000000001
357,联,9857,0.0634,69.26360000000001
358,安,9855,0.0634,69.32700000000001
359,极,9852,0.0634,69.39040000000001
360,今,9780,0.0629,69.45330000000001
361,单,9754,0.0627,69.51600000000002
362,商,9735,0.0626,69.57860000000002
363,料,9653,0.0621,69.64070000000002
364,技,9646,0.062,69.70270000000002
365,深,9600,0.0617,69.76440000000002
366,验,9589,0.0617,69.82610000000003
367,增,9571,0.0616,69.88770000000002
368,记,9569,0.0615,69.94920000000002
369,近,9565,0.0615,70.01070000000001
370,言,9564,0.0615,70.07220000000001
371,整,9520,0.0612,70.13340000000001
372,精,9514,0.0612,70.19460000000001
373,集,9478,0.061,70.25560000000002
374,空,9433,0.0607,70.31630000000001
375,连,9419,0.0606,70.3769
376,报,9411,0.0605,70.43740000000001
377,觉,9363,0.0602,70.4976
378,车,9335,0.06,70.55760000000001
379,价,9298,0.0598,70.6174
380,音,9280,0.0597,70.67710000000001
381,响,9253,0.0595,70.73660000000001
382,办,9247,0.0595,70.79610000000001
383,存,9247,0.0595,70.85560000000001
384,怎,9170,0.059,70.91460000000001
385,病,9158,0.0589,70.9735
386,快,9110,0.0586,71.0321
387,图,9104,0.0586,71.0907
388,况,8957,0.0576,71.14829999999999
389,例,8908,0.0573,71.20559999999999
390,消,8854,0.0569,71.26249999999999
391,容,8835,0.0568,71.31929999999998
392,史,8821,0.0567,71.37599999999999
393,非,8814,0.0567,71.4327
394,离,8781,0.0565,71.4892
395,节,8778,0.0565,71.5457
396,亲,8769,0.0564,71.6021
397,万,8766,0.0564,71.65849999999999
398,八,8761,0.0563,71.71479999999998
399,构,8747,0.0563,71.77109999999998
400,族,8744,0.0562,71.82729999999998
401,石,8727,0.0561,71.88339999999998
402,满,8701,0.056,71.93939999999998
403,何,8660,0.0557,71.99509999999998
404,广,8646,0.0556,72.05069999999998
405,律,8597,0.0553,72.10599999999998
406,青,8568,0.0551,72.16109999999998
407,林,8513,0.0547,72.21579999999997
408,克,8494,0.0546,72.27039999999997
409,王,8491,0.0546,72.32499999999996
410,历,8455,0.0544,72.37939999999996
411,权,8446,0.0543,72.43369999999996
412,素,8434,0.0542,72.48789999999995
413,始,8376,0.0539,72.54179999999995
414,断,8330,0.0536,72.59539999999996
415,九,8252,0.0531,72.64849999999996
416,际,8249,0.0531,72.70159999999996
417,积,8219,0.0529,72.75449999999995
418,吃,8176,0.0526,72.80709999999995
419,态,8165,0.0525,72.91209999999994
420,艺,8165,0.0525,72.85959999999994
421,证,8161,0.0525,72.96459999999993
422,众,8159,0.0525,73.01709999999993
423,创,8135,0.0523,73.06939999999993
424,红,8127,0.0523,73.12169999999993
425,望,8110,0.0522,73.17389999999993
426,须,8105,0.0521,73.22599999999993
427,群,8056,0.0518,73.27779999999993
428,师,8047,0.0518,73.32959999999993
429,该,8028,0.0516,73.38119999999992
430,复,7986,0.0514,73.43259999999992
431,细,7984,0.0513,73.48389999999992
432,包,7983,0.0513,73.53519999999992
433,土,7982,0.0513,73.58649999999992
434,持,7976,0.0513,73.63779999999991
435,服,7962,0.0512,73.68899999999991
436,笑,7944,0.0511,73.74009999999991
437,德,7923,0.051,73.79109999999991
438,般,7896,0.0508,73.84189999999991
439,远,7863,0.0506,73.89249999999991
440,爱,7850,0.0505,73.94299999999991
441,准,7754,0.0499,73.9928999999999
442,写,7734,0.0497,74.04259999999991
443,算,7663,0.0493,74.09189999999991
444,火,7655,0.0492,74.14109999999991
445,死,7623,0.049,74.19009999999992
446,半,7622,0.049,74.23909999999992
447,布,7610,0.0489,74.28799999999993
448,随,7598,0.0489,74.33689999999993
449,六,7583,0.0488,74.38569999999993
450,元,7581,0.0488,74.43449999999993
451,低,7573,0.0487,74.48319999999993
452,称,7571,0.0487,74.53189999999992
453,引,7550,0.0486,74.58049999999992
454,照,7534,0.0485,74.62899999999992
455,失,7495,0.0482,74.67719999999991
456,养,7485,0.0481,74.72529999999992
457,视,7472,0.0481,74.77339999999992
458,习,7466,0.048,74.82139999999993
459,段,7456,0.048,74.86939999999993
460,字,7428,0.0478,74.91719999999992
461,织,7420,0.0477,74.96489999999993
462,斗,7350,0.0473,75.01219999999994
463,团,7279,0.0468,75.05899999999994
464,器,7262,0.0467,75.10569999999994
465,兴,7236,0.0465,75.15219999999994
466,乐,7211,0.0464,75.19859999999994
467,效,7207,0.0464,75.24499999999995
468,显,7164,0.0461,75.29109999999994
469,斯,7158,0.046,75.33709999999995
470,千,7094,0.0456,75.38269999999994
471,落,7075,0.0455,75.42819999999995
472,示,7058,0.0454,75.47359999999995
473,仅,7057,0.0454,75.51899999999995
474,企,7052,0.0454,75.56439999999995
475,似,7037,0.0453,75.60969999999995
476,备,7026,0.0452,75.65489999999994
477,除,6997,0.045,75.69989999999994
478,支,6987,0.0449,75.74479999999994
